
2025/10/13 (13:54:53) | ===> btop++ v.1.3.0
2025/10/13 (13:54:53) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (13:54:53) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (13:54:53) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (13:55:38) | ===> btop++ v.1.3.0
2025/10/13 (13:55:38) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (13:55:38) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (13:55:38) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (13:56:02) | ===> btop++ v.1.3.0
2025/10/13 (13:56:02) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (13:56:02) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (13:56:02) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (13:56:13) | ===> btop++ v.1.3.0
2025/10/13 (13:56:13) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (13:56:13) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (13:56:13) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (13:58:53) | ===> btop++ v.1.3.0
2025/10/13 (13:58:53) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (13:58:53) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (13:58:53) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (15:04:16) | ===> btop++ v.1.3.0
2025/10/13 (15:04:16) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (15:04:16) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (15:04:16) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (15:04:22) | ===> btop++ v.1.3.0
2025/10/13 (15:04:22) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (15:04:22) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (15:04:22) | ERROR: Invalid size of hex value: 20b597ff

2025/10/13 (19:54:41) | ===> btop++ v.1.3.0
2025/10/13 (19:54:41) | ERROR: Invalid size of hex value: 39d7efff
2025/10/13 (19:54:41) | ERROR: Invalid size of hex value: 72fdddff
2025/10/13 (19:54:41) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (00:45:53) | ===> btop++ v.1.3.0
2025/10/14 (00:45:53) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (00:45:53) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (00:45:53) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (13:55:54) | ===> btop++ v.1.3.0
2025/10/14 (13:55:54) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (13:55:54) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (13:55:54) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (16:54:33) | ===> btop++ v.1.3.0
2025/10/14 (16:54:33) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (16:54:33) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (16:54:33) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (18:26:01) | ===> btop++ v.1.3.0
2025/10/14 (18:26:01) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (18:26:01) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (18:26:01) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (21:47:49) | ===> btop++ v.1.3.0
2025/10/14 (21:47:49) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (21:47:49) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (21:47:49) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (22:25:13) | ===> btop++ v.1.3.0
2025/10/14 (22:25:13) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (22:25:13) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (22:25:13) | ERROR: Invalid size of hex value: 20b597ff

2025/10/14 (23:42:09) | ===> btop++ v.1.3.0
2025/10/14 (23:42:09) | ERROR: Invalid size of hex value: 39d7efff
2025/10/14 (23:42:09) | ERROR: Invalid size of hex value: 72fdddff
2025/10/14 (23:42:09) | ERROR: Invalid size of hex value: 20b597ff
